S.No.	Make	Model	Price (Ex-Showroom)	Power (bhp)	Range/Mileage	Fuel Type	Notes
239	Ford	Freestyle	₹7.00 - 9.00 Lakh	95-99 bhp	18.5-24.4 kmpl	Petrol/Diesel	Discontinued in India
240	Ford	Jeep	N/A	N/A	N/A	N/A	Not a Ford model, likely a generic term
241	Ford	Fiesta	₹8.00 - 10.00 Lakh	89-89 bhp	17.0-23.5 kmpl	Petrol/Diesel	Discontinued in India
242	Ford	Fiesta Classic	₹5.00 - 7.00 Lakh	100-68 bhp	17.0-22.7 kmpl	Petrol/Diesel	Discontinued in India
243	Ford	Model T	N/A	N/A	N/A	N/A	Classic car, no current data
244	Ford	Ikon	₹5.00 - 7.00 Lakh	70-91 bhp	12.0-15.0 kmpl	Petrol/Diesel	Discontinued in India
245	Ford	Raptor	N/A	N/A	N/A	N/A	Not officially sold in India
246	Ford	Mondeo	N/A	N/A	N/A	N/A	Discontinued in India
247	Ford	Fusion	N/A	N/A	N/A	N/A	Discontinued in India
248	Ford	Escort	N/A	N/A	N/A	N/A	Classic car, no current data
249	Ford	Capri	N/A	N/A	N/A	N/A	Classic car, no current data
250	Ford	Zephyr	N/A	N/A	N/A	N/A	Classic car, no current data
Renault							
251	Renault	Kwid	₹4.70 - 6.45 Lakh	53-67 bhp	21.7-22.2 kmpl	Petrol	Current generation
252	Renault	Triber	₹6.00 - 8.97 Lakh	71 bhp	18.2-19.0 kmpl	Petrol	Current generation
253	Renault	Duster	₹9.00 - 14.00 Lakh	105-154 bhp	16.5-19.8 kmpl	Petrol/Diesel	Discontinued in India
254	Renault	Kiger	₹6.00 - 11.23 Lakh	71-99 bhp	18.2-20.5 kmpl	Petrol	Current generation
255	Renault	Lodgy	₹8.00 - 12.00 Lakh	83-108 bhp	20.0-21.0 kmpl	Diesel	Discontinued in India
256	Renault	Captur	₹10.00 - 14.00 Lakh	105-154 bhp	13.8-16.0 kmpl	Petrol/Diesel	Discontinued in India
257	Renault	Scala	₹7.50 - 10.00 Lakh	97-84 bhp	16.9-21.6 kmpl	Petrol/Diesel	Discontinued in India
258	Renault	Pulse	₹5.00 - 7.00 Lakh	75-63 bhp	19.0-23.0 kmpl	Petrol/Diesel	Discontinued in India
259	Renault	Fluence	₹14.00 - 16.00 Lakh	108-108 bhp	13.7-20.4 kmpl	Petrol/Diesel	Discontinued in India
260	Renault	Koleos	₹23.00 - 27.00 Lakh	148 bhp	17.0 kmpl	Diesel	Discontinued in India
261	Renault	Megane	N/A	N/A	N/A	N/A	Not officially sold in India
262	Renault	Scenic	N/A	N/A	N/A	N/A	Not officially sold in India
Ashok Leyland							
263	Ashok Leyland	Stile	₹7.50 - 9.00 Lakh	75 bhp	19.5 kmpl	Diesel	Discontinued, last known data
Aston Martin							
264	Aston Martin	Vantage	₹3.00 - 4.00 Crore	503-656 bhp	8.0-9.0 kmpl	Petrol	Current generation
265	Aston Martin	Rapide	₹3.30 Crore	552 bhp	8.0 kmpl	Petrol	Discontinued, last known data
266	Aston Martin	Vanquish	₹3.80 Crore	568 bhp	8.0 kmpl	Petrol	Discontinued, last known data
267	Aston Martin	DB9	₹3.00 Crore	510 bhp	7.0 kmpl	Petrol	Discontinued, last known data
268	Aston Martin	DBS	₹5.00 Crore	715 bhp	7.0 kmpl	Petrol	Current generation
269	Aston Martin	Virage	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
270	Aston Martin	DB12	₹4.59 Crore	670 bhp	8.0 kmpl	Petrol	Current generation
271	Aston Martin	DB11	₹3.29 Crore	503-630 bhp	9.0 kmpl	Petrol	Current generation
272	Aston Martin	DBX	₹3.82 Crore	542 bhp	10.0 kmpl	Petrol	Current generation
Audi							
273	Audi	Q2	₹35.00 - 49.00 Lakh	190 bhp	15.0 kmpl	Petrol	Discontinued, last known data
274	Audi	A6	₹64.00 - 70.00 Lakh	245 bhp	14.0 kmpl	Petrol	Current generation
275	Audi	Q7	₹86.90 Lakh - 94.00 Lakh	335 bhp	11.2 kmpl	Petrol	Current generation
276	Audi	Q5	₹65.18 - 70.00 Lakh	261 bhp	13.4 kmpl	Petrol	Current generation
277	Audi	A3	₹30.00 - 40.00 Lakh	148-180 bhp	16.6-20.3 kmpl	Petrol/Diesel	Discontinued, last known data
278	Audi	Q8	₹1.10 - 1.40 Crore	335 bhp	9.8 kmpl	Petrol	Current generation
279	Audi	TT	₹65.00 - 70.00 Lakh	227 bhp	14.3 kmpl	Petrol	Discontinued, last known data
280	Audi	R8	₹2.72 Crore	532-602 bhp	8.0 kmpl	Petrol	Discontinued, last known data
281	Audi	RS5	₹1.10 Crore	444 bhp	10.8 kmpl	Petrol	Current generation
282	Audi	E-Tron	₹1.02 - 1.26 Crore	308-402 bhp	359-484 km/charge	Electric	Current generation
283	Audi	RS Q8	₹2.22 Crore	592 bhp	8.0 kmpl	Petrol	Current generation
284	Audi	A8 L	₹1.34 - 1.63 Crore	340 bhp	12.0 kmpl	Petrol	Current generation
285	Audi	A5	₹55.00 - 60.00 Lakh	187-248 bhp	16.0-17.0 kmpl	Petrol/Diesel	Discontinued, last known data
286	Audi	RS	N/A	N/A	N/A	N/A	Performance line, not a single model
287	Audi	Q3 Sportback	₹54.22 Lakh	190 bhp	14.9 kmpl	Petrol	Current generation
288	Audi	A5 Cabriolet	₹69.00 Lakh	248 bhp	17.0 kmpl	Petrol	Discontinued, last known data
289	Audi	A7	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
290	Audi	S6	N/A	N/A	N/A	N/A	Not officially sold in India
291	Audi	S4	N/A	N/A	N/A	N/A	Not officially sold in India
292	Audi	S5 Sportback	₹73.99 Lakh	349 bhp	11.7 kmpl	Petrol	Current generation
293	Audi	E-Tron GT	₹1.70 - 1.94 Crore	469-590 bhp	401-500 km/charge	Electric	Current generation
294	Audi	Q8 e-tron Sportback	₹1.18 - 1.30 Crore	335-402 bhp	500-600 km/charge	Electric	Current generation
295	Audi	Q6 e-tron	₹1.00 Crore (Est.)	~382 bhp (Est.)	~625 km/charge (Est.)	Electric	Expected Launch: Late 2024
Austin							
296	Austin	A40	N/A	N/A	N/A	N/A	Classic car, no current data
Bentley							
297	Bentley	Continental GT	₹5.20 - 8.40 Crore	542-650 bhp	7.0-8.0 kmpl	Petrol	Current generation
298	Bentley	Continental Flying Spur	₹3.40 - 4.00 Crore	500-616 bhp	7.0-8.0 kmpl	Petrol	Discontinued, last known data
299	Bentley	Bentayga	₹4.10 - 6.00 Crore	542-626 bhp	7.0-8.0 kmpl	Petrol	Current generation
300	Bentley	Mulsanne	₹5.50 - 6.50 Crore	505 bhp	6.0 kmpl	Petrol	Discontinued, last known data
301	Bentley	Continental Supersports	N/A	N/A	N/A	N/A	Special edition, not regularly sold in India
302	Bentley	Continental GTC	N/A	N/A	N/A	N/A	Convertible version of Continental GT
303	Bentley	Azure	N/A	N/A	N/A	N/A	Classic car, no current data
304	Bentley	Arnage	N/A	N/A	N/A	N/A	Classic car, no current data
BYD							
305	BYD	Atto 3	₹33.99 Lakh	201 bhp	521 km/charge	Electric	Current generation
306	BYD	e6	₹29.15 Lakh	94 bhp	415 km/charge	Electric	Current generation
307	BYD	Seal	₹41.00 - 53.00 Lakh	201-523 bhp	510-650 km/charge	Electric	Current generation
308	BYD	Sealion 7	₹48.90 - 54.90 Lakh (Est.)	308-523 bhp (Est.)	542-567 km/charge (Est.)	Electric	Expected Launch: Late 2024
Chevrolet							
309	Chevrolet	Beat	₹4.00 - 6.00 Lakh	79-57 bhp	18.6-25.4 kmpl	Petrol/Diesel	Discontinued in India
310	Chevrolet	Spark	₹3.50 - 5.00 Lakh	62 bhp	16.2 kmpl	Petrol	Discontinued in India
311	Chevrolet	Sail Sedan	₹6.00 - 8.50 Lakh	82-77 bhp	18.2-22.1 kmpl	Petrol/Diesel	Discontinued in India
312	Chevrolet	Aveo U-Va	₹4.50 - 6.00 Lakh	88 bhp	14.0 kmpl	Petrol	Discontinued in India
313	Chevrolet	Enjoy	₹5.00 - 8.00 Lakh	100-76 bhp	13.7-18.2 kmpl	Petrol/Diesel	Discontinued in India
314	Chevrolet	Sail Hatchback	₹5.00 - 7.00 Lakh	82-77 bhp	18.2-22.1 kmpl	Petrol/Diesel	Discontinued in India
315	Chevrolet	Trailblazer	₹26.00 Lakh	197 bhp	11.4 kmpl	Diesel	Discontinued in India
316	Chevrolet	Tavera	₹8.00 - 12.00 Lakh	78-100 bhp	13.0 kmpl	Diesel	Discontinued in India
317	Chevrolet	Cruze	₹14.00 - 18.00 Lakh	164 bhp	14.8 kmpl	Diesel	Discontinued in India
318	Chevrolet	Impala	N/A	N/A	N/A	N/A	Not sold in India
319	Chevrolet	Captiva	₹25.00 - 27.00 Lakh	148-184 bhp	14.6 kmpl	Diesel	Discontinued in India
320	Chevrolet	Aveo	₹6.00 - 8.00 Lakh	102 bhp	13.0 kmpl	Petrol	Discontinued in India
321	Chevrolet	Optra	₹8.00 - 10.00 Lakh	102-120 bhp	10.0-14.0 kmpl	Petrol/Diesel	Discontinued in India
322	Chevrolet	Corvette	N/A	N/A	N/A	N/A	Not sold in India
323	Chevrolet	Camaro	N/A	N/A	N/A	N/A	Not sold in India
324	Chevrolet	Silverado	N/A	N/A	N/A	N/A	Not sold in India
325	Chevrolet	Forester	N/A	N/A	N/A	N/A	Not a Chevrolet model (Subaru Forester)
326	Chevrolet	Tourer	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
327	Chevrolet	Fleetline	N/A	N/A	N/A	N/A	Classic car, no current data
Citroen							
328	Citroen	C3	₹6.16 - 9.08 Lakh	82-109 bhp	19.3 kmpl	Petrol	Current generation
329	Citroen	C5 Aircross	₹37.67 - 37.67 Lakh	175 bhp	18.6 kmpl	Diesel	Current generation
330	Citroen	C3 Aircross	₹9.99 - 14.39 Lakh	109 bhp	17.6 kmpl	Petrol	Current generation
331	Citroen	Basalt	₹10.00 - 15.00 Lakh (Est.)	~109 bhp (Est.)	~18.0 kmpl (Est.)	Petrol	Expected Launch: Mid-2025
332	Citroen	eC3	₹12.00 - 13.50 Lakh	56 bhp	320 km/charge	Electric	Current generation
Daewoo							
333	Daewoo	Cielo	₹4.00 - 6.00 Lakh	80 bhp	12.0 kmpl	Petrol	Discontinued in India
334	Daewoo	Matiz	₹3.00 - 4.00 Lakh	53 bhp	18.0 kmpl	Petrol	Discontinued in India
335	Daewoo	Nexia	N/A	N/A	N/A	N/A	Not sold in India
DC							
336	DC	Avanti	₹35.00 - 40.00 Lakh	250-310 bhp	10.0 kmpl	Petrol	Discontinued, last known data
Datsun							
337	Datsun	Redi-Go	₹3.98 - 4.96 Lakh	53-67 bhp	20.7-22.0 kmpl	Petrol	Discontinued in India
338	Datsun	Go	₹4.00 - 6.50 Lakh	67-76 bhp	19.0-20.0 kmpl	Petrol	Discontinued in India
339	Datsun	Go Plus	₹4.20 - 7.00 Lakh	67-76 bhp	19.0-20.0 kmpl	Petrol	Discontinued in India
Dodge							
340	Dodge	Nitro	N/A	N/A	N/A	N/A	Not sold in India
Eicher Polaris							
341	Eicher Polaris	Multix	₹3.00 - 4.00 Lakh	9.8 bhp	27.0 kmpl	Diesel	Discontinued, last known data
Ferrari							
342	Ferrari	Purosangue SUV	₹10.50 Crore	715 bhp	6.5 kmpl	Petrol	Current generation
343	Ferrari	812	₹5.75 Crore	789 bhp	6.7 kmpl	Petrol	Current generation
344	Ferrari	GTC4Lusso	₹4.20 - 4.90 Crore	602-680 bhp	6.0-7.0 kmpl	Petrol	Discontinued, last known data
345	Ferrari	488	₹3.60 - 4.00 Crore	660-669 bhp	8.0 kmpl	Petrol	Discontinued, last known data
346	Ferrari	California	₹3.30 Crore	453-552 bhp	8.0 kmpl	Petrol	Discontinued, last known data
347	Ferrari	360	N/A	N/A	N/A	N/A	Classic car, no current data
348	Ferrari	FF	₹4.00 Crore	651 bhp	6.0 kmpl	Petrol	Discontinued, last known data
349	Ferrari	458	₹3.80 Crore	562 bhp	8.0 kmpl	Petrol	Discontinued, last known data
350	Ferrari	575 Superamerica	N/A	N/A	N/A	N/A	Classic car, no current data
351	Ferrari	599	N/A	N/A	N/A	N/A	Classic car, no current data
352	Ferrari	612	N/A	N/A	N/A	N/A	Classic car, no current data
353	Ferrari	F12 Berlinetta	₹4.80 Crore	730 bhp	6.0 kmpl	Petrol	Discontinued, last known data
354	Ferrari	296 GTB	₹5.40 Crore	818 bhp	N/A	Plug-in Hybrid	Current generation
355	Ferrari	Roma	₹3.76 Crore	612 bhp	9.0 kmpl	Petrol	Current generation
356	Ferrari	296 GTS	₹6.24 Crore	818 bhp	N/A	Plug-in Hybrid	Current generation
357	Ferrari	F8 Tributo	₹4.02 Crore	710 bhp	7.7 kmpl	Petrol	Discontinued, last known data
358	Ferrari	Portofino	₹3.50 Crore	591 bhp	9.0 kmpl	Petrol	Current generation
Fiat							
359	Fiat	Linea	₹7.00 - 10.00 Lakh	89-123 bhp	15.0-20.0 kmpl	Petrol/Diesel	Discontinued in India
360	Fiat	Punto	₹5.00 - 8.00 Lakh	67-92 bhp	14.0-20.0 kmpl	Petrol/Diesel	Discontinued in India
361	Fiat	Avventura	₹7.00 - 9.00 Lakh	89-92 bhp	14.0-20.0 kmpl	Petrol/Diesel	Discontinued in India
362	Fiat	Urban Cross	₹7.00 - 10.00 Lakh	92-138 bhp	14.0-20.0 kmpl	Petrol/Diesel	Discontinued in India
363	Fiat	500	₹15.00 - 20.00 Lakh	100 bhp	15.0 kmpl	Petrol	Discontinued in India
364	Fiat	Punto EVO	₹5.00 - 8.00 Lakh	67-92 bhp	14.0-20.0 kmpl	Petrol/Diesel	Discontinued in India
365	Fiat	Siena	N/A	N/A	N/A	N/A	Discontinued in India
366	Fiat	Uno	N/A	N/A	N/A	N/A	Discontinued in India
367	Fiat	Palio	N/A	N/A	N/A	N/A	Discontinued in India
368	Fiat	Petra	N/A	N/A	N/A	N/A	Discontinued in India
369	Fiat	Adventure	N/A	N/A	N/A	N/A	Discontinued in India
370	Fiat	Millicento	N/A	N/A	N/A	N/A	Classic car, no current data
371	Fiat	1100	N/A	N/A	N/A	N/A	Classic car, no current data
Force Motors							
372	Force Motors	Gurkha	₹16.75 - 18.00 Lakh	90 bhp	12.0 kmpl	Diesel	Current generation
373	Force Motors	One	₹10.00 - 14.00 Lakh	139 bhp	12.0 kmpl	Diesel	Discontinued, last known data
374	Force Motors	Trax Cruiser	₹13.99 - 15.99 Lakh	90 bhp	17.0 kmpl	Diesel	Current generation
GMC							
375	GMC	Sierra 2500	N/A	N/A	N/A	N/A	Not sold in India
Hindustan Motors							
376	Hindustan Motors	Ambassador	N/A	N/A	N/A	N/A	Discontinued, classic car
Holden							
377	Holden	Commodore	N/A	N/A	N/A	N/A	Not sold in India
Humber							
378	Humber	Hawk	N/A	N/A	N/A	N/A	Classic car, no current data
Hummer							
379	Hummer	H2	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
380	Hummer	H3	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
ICML							
381	ICML	Extreme	₹6.00 - 8.00 Lakh	100 bhp	14.0 kmpl	Diesel	Discontinued, last known data
382	ICML	Rhino RX	₹6.00 - 8.00 Lakh	100 bhp	14.0 kmpl	Diesel	Discontinued, last known data
Isuzu							
383	Isuzu	D-Max V-Cross	₹23.00 - 30.00 Lakh	161 bhp	12.0 kmpl	Diesel	Current generation
384	Isuzu	MU-X	₹35.00 - 38.00 Lakh	161 bhp	12.0 kmpl	Diesel	Current generation
385	Isuzu	MU-7	₹20.00 - 25.00 Lakh	161 bhp	12.0 kmpl	Diesel	Discontinued, last known data
386	Isuzu	Trooper	N/A	N/A	N/A	N/A	Not sold in India
Jaguar							
387	Jaguar	XF	₹71.60 Lakh	247 bhp	13.1 kmpl	Petrol	Current generation
388	Jaguar	F-Pace	₹72.90 Lakh	247 bhp	12.0 kmpl	Petrol	Current generation
389	Jaguar	XE	₹46.60 Lakh	247 bhp	13.0 kmpl	Petrol	Discontinued, last known data
390	Jaguar	XJ	₹1.10 Crore	300 bhp	12.0 kmpl	Diesel	Discontinued, last known data
391	Jaguar	F-Type	₹1.00 - 1.50 Crore	296-567 bhp	12.0 kmpl	Petrol	Current generation
392	Jaguar	XK	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
393	Jaguar	I-Pace	₹1.26 Crore	394 bhp	470 km/charge	Electric	Current generation
394	Jaguar	E-Pace	N/A	N/A	N/A	N/A	Not officially sold in India
Jeep							
395	Jeep	Compass	₹20.69 - 32.07 Lakh	170 bhp	14.0-17.0 kmpl	Petrol/Diesel	Current generation
396	Jeep	Wrangler	₹67.65 - 71.65 Lakh	268 bhp	11.4 kmpl	Petrol	Current generation
397	Jeep	Meridian	₹31.23 - 39.46 Lakh	168 bhp	15.0-16.0 kmpl	Diesel	Current generation
398	Jeep	Cherokee	N/A	N/A	N/A	N/A	Not sold in India
399	Jeep	Willys	N/A	N/A	N/A	N/A	Classic car, no current data
Kia							
400	Kia	Seltos	₹10.90 - 20.35 Lakh	113-158 bhp	17.0-20.7 kmpl	Petrol/Diesel	Current generation
401	Kia	Sonet	₹7.99 - 15.75 Lakh	82-118 bhp	18.0-24.1 kmpl	Petrol/Diesel	Current generation
402	Kia	Carens	₹10.52 - 19.67 Lakh	113-158 bhp	16.5-21.0 kmpl	Petrol/Diesel	Current generation
403	Kia	Carnival	₹25.00 - 35.00 Lakh	197 bhp	13.9 kmpl	Diesel	Discontinued, last known data
404	Kia	EV6	₹60.95 - 65.95 Lakh	225-321 bhp	530-708 km/charge	Electric	Current generation
405	Kia	Syros	N/A	N/A	N/A	N/A	Concept/Upcoming, no official data
Lamborghini							
406	Lamborghini	Urus	₹4.18 - 4.22 Crore	657-666 bhp	7.8 kmpl	Petrol	Current generation
407	Lamborghini	Huracan	₹3.22 - 4.00 Crore	602-631 bhp	7.0 kmpl	Petrol	Current generation
408	Lamborghini	Aventador	₹5.00 - 9.00 Crore	690-759 bhp	6.0 kmpl	Petrol	Discontinued, last known data
409	Lamborghini	Gallardo	N/A	N/A	N/A	N/A	Discontinued, classic car
410	Lamborghini	Murcielago	N/A	N/A	N/A	N/A	Discontinued, classic car
411	Lamborghini	Revuelto	₹8.89 Crore	1001 bhp	N/A	Plug-in Hybrid	Current generation
Land Rover							
412	Land Rover	Discovery Sport	₹67.90 - 74.50 Lakh	247 bhp	12.0 kmpl	Petrol/Diesel	Current generation
413	Land Rover	Range Rover Sport	₹1.64 - 2.80 Crore	350-626 bhp	11.0-12.0 kmpl	Petrol/Diesel	Current generation
414	Land Rover	Range Rover Velar	₹87.90 Lakh	247 bhp	15.2 kmpl	Petrol	Current generation
415	Land Rover	Range Rover	₹2.39 - 4.17 Crore	346-523 bhp	12.0-14.0 kmpl	Petrol/Diesel	Current generation
416	Land Rover	Evoque	₹67.90 - 69.90 Lakh	247 bhp	10.9-15.0 kmpl	Petrol/Diesel	Current generation
417	Land Rover	Defender	₹97.00 Lakh - 2.35 Crore	296-518 bhp	9.0-10.0 kmpl	Petrol	Current generation
418	Land Rover	Discovery	₹97.00 Lakh - 1.35 Crore	296-355 bhp	10.0-12.0 kmpl	Petrol/Diesel	Current generation
419	Land Rover	Freelander	₹45.00 - 50.00 Lakh	187 bhp	14.0 kmpl	Diesel	Discontinued, last known data
Lexus							
420	Lexus	ES	₹63.71 - 69.71 Lakh	176 bhp	22.3 kmpl	Hybrid (Petrol)	Current generation
421	Lexus	NX	₹67.35 - 74.24 Lakh	188 bhp	18.3 kmpl	Hybrid (Petrol)	Current generation
422	Lexus	LX	₹2.82 Crore	304 bhp	6.9 kmpl	Diesel	Current generation
423	Lexus	LS	₹1.96 - 2.27 Crore	354 bhp	15.4 kmpl	Hybrid (Petrol)	Current generation
424	Lexus	LM	₹2.00 - 2.50 Crore (Est.)	~190-250 bhp (Est.)	~15.0-18.0 kmpl (Est.)	Hybrid (Petrol)	Expected Launch: Late 2024
425	Lexus	RX	₹95.80 Lakh - 1.18 Crore	247-304 bhp	18.5-20.0 kmpl	Hybrid (Petrol)	Current generation
426	Lexus	LC 500h	₹2.35 Crore	354 bhp	14.8 kmpl	Hybrid (Petrol)	Current generation
427	Lexus	UX 300e	N/A	N/A	N/A	N/A	Not officially sold in India
428	Lexus	SC	N/A	N/A	N/A	N/A	Classic car, no current data
429	Lexus	GS	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
Lotus							
430	Lotus	Eletre	₹2.55 - 2.99 Crore	603-905 bhp	490-600 km/charge	Electric	Current generation
431	Lotus	Emira	₹3.22 Crore	360-400 bhp	10.0-12.0 kmpl	Petrol	Current generation
Maserati							
432	Maserati	Levante	₹1.45 - 1.65 Crore	350-580 bhp	9.0-10.0 kmpl	Petrol	Current generation
433	Maserati	Quattroporte	₹1.70 - 2.10 Crore	350-580 bhp	8.0-9.0 kmpl	Petrol	Current generation
434	Maserati	GranTurismo	₹2.20 - 2.50 Crore	453-460 bhp	7.0 kmpl	Petrol	Discontinued, last known data
435	Maserati	Gran Cabrio	N/A	N/A	N/A	N/A	Discontinued, not officially sold in India
436	Maserati	Ghibli	₹1.20 - 1.50 Crore	350-430 bhp	10.0-12.0 kmpl	Petrol	Current generation
437	Maserati	MC20	₹3.70 Crore	621 bhp	8.0 kmpl	Petrol	Current generation
438	Maserati	Grecale	₹1.00 - 1.20 Crore (Est.)	296-523 bhp (Est.)	10.0-12.0 kmpl (Est.)	Petrol	Expected Launch: Late 2024
Mean Metal Motors							
439	Mean Metal Motors	Azani	₹1.00 Crore (Est.)	1000 bhp (Est.)	550-700 km/charge (Est.)	Electric	Concept car, production uncertain
MG							
440	MG	Hector	₹13.99 - 22.15 Lakh	141-168 bhp	13.7-16.3 kmpl	Petrol/Diesel	Current generation
441	MG	Hector Plus	₹17.00 - 22.97 Lakh	141-168 bhp	13.7-16.3 kmpl	Petrol/Diesel	Current generation
442	MG	Astor	₹10.82 - 18.69 Lakh	108-138 bhp	14.8-15.4 kmpl	Petrol	Current generation
443	MG	Gloster	₹38.80 - 43.87 Lakh	158-212 bhp	12.0-13.0 kmpl	Diesel	Current generation
444	MG	ZS EV	₹18.98 - 25.20 Lakh	174 bhp	461 km/charge	Electric	Current generation
445	MG	Comet EV	₹6.99 - 9.53 Lakh	41 bhp	230 km/charge	Electric	Current generation
446	MG	Windsor EV	₹12.00 - 15.00 Lakh (Est.)	~100-150 bhp (Est.)	~300-400 km/charge (Est.)	Electric	Expected Launch: Late 2024
MINI							
447	MINI	Convertible	₹53.00 Lakh	189 bhp	16.3 kmpl	Petrol	Current generation
448	MINI	Cooper	₹42.70 - 43.00 Lakh	189 bhp	16.3 kmpl	Petrol	Current generation
449	MINI	Countryman	₹48.10 - 49.00 Lakh	189 bhp	14.3 kmpl	Petrol	Current generation
450	MINI	Cooper SE	₹53.50 Lakh	181 bhp	270 km/charge	Electric	Current generation
451	MINI	Clubman	₹42.00 Lakh	189 bhp	14.0 kmpl	Petrol	Discontinued, last known data
452	MINI	Cooper JCW	₹47.70 Lakh	228 bhp	15.0 kmpl	Petrol	Current generation
453	MINI	Countryman Electric	₹54.90 - 62.00 Lakh (Est.)	~200-300 bhp (Est.)	~462 km/charge (Est.)	Electric	Expected Launch: Early 2025
Mitsubishi							
454	Mitsubishi	Pajero	₹20.00 - 25.00 Lakh	178 bhp	11.0 kmpl	Diesel	Discontinued in India
455	Mitsubishi	Outlander	₹32.00 Lakh	165 bhp	10.0 kmpl	Petrol	Discontinued in India
456	Mitsubishi	Cedia	₹8.00 - 10.00 Lakh	113 bhp	13.0 kmpl	Petrol	Discontinued in India
457	Mitsubishi	Montero	₹60.00 Lakh	202 bhp	8.0 kmpl	Diesel	Discontinued in India
458	Mitsubishi	Lancer	₹7.00 - 9.00 Lakh	108 bhp	12.0 kmpl	Petrol	Discontinued in India
459	Mitsubishi	GTO	N/A	N/A	N/A	N/A	Classic car, not sold in India
460	Mitsubishi	Challenger	N/A	N/A	N/A	N/A	Not sold in India
461	Mitsubishi	Galant	N/A	N/A	N/A	N/A	Not sold in India
462	Mitsubishi	FTO	N/A	N/A	N/A	N/A	Classic car, not sold in India
Morris							
463	Morris	Minor	N/A	N/A	N/A	N/A	Classic car, no current data
Nissan							
464	Nissan	Magnite	₹6.00 - 11.27 Lakh	71-99 bhp	18.7-20.0 kmpl	Petrol	Current generation
465	Nissan	Micra	₹6.00 - 8.00 Lakh	67-75 bhp	19.0-23.0 kmpl	Petrol/Diesel	Discontinued in India
466	Nissan	Sunny	₹7.00 - 10.00 Lakh	97-84 bhp	16.9-22.7 kmpl	Petrol/Diesel	Discontinued in India
467	Nissan	Terrano	₹10.00 - 14.00 Lakh	84-108 bhp	19.0-20.5 kmpl	Petrol/Diesel	Discontinued in India
468	Nissan	Kicks	₹9.50 - 14.00 Lakh	105-154 bhp	13.9-16.4 kmpl	Petrol/Diesel	Discontinued in India
469	Nissan	Gloria	N/A	N/A	N/A	N/A	Classic car, not sold in India
470	Nissan	Cedric	N/A	N/A	N/A	N/A	Classic car, not sold in India
471	Nissan	Patrol	N/A	N/A	N/A	N/A	Not sold in India
472	Nissan	GT-R	₹2.12 Crore	565 bhp	8.0 kmpl	Petrol	Discontinued, last known data
473	Nissan	Juke	N/A	N/A	N/A	N/A	Not sold in India
474	Nissan	Leaf EV	N/A	N/A	N/A	N/A	Not officially launched in India
475	Nissan	Evalia	₹8.00 - 10.00 Lakh	84 bhp	19.3 kmpl	Diesel	Discontinued in India
476	Nissan	Teana	₹15.00 - 20.00 Lakh	180 bhp	11.0 kmpl	Petrol	Discontinued in India
477	Nissan	Jonga	N/A	N/A	N/A	N/A	Classic car, no current data
478	Nissan	X-Trail	N/A	N/A	N/A	N/A	Not officially launched in India
479	Nissan	Serena	N/A	N/A	N/A	N/A	Not sold in India
480	Nissan	350Z	N/A	N/A	N/A	N/A	Classic car, not sold in India
481	Nissan	370Z	N/A	N/A	N/A	N/A	Not sold in India
482	Nissan	Infiniti	N/A	N/A	N/A	N/A	Luxury brand, not a model
483	Nissan	Bluebird	N/A	N/A	N/A	N/A	Classic car, not sold in India
484	Nissan	NV350	N/A	N/A	N/A	N/A	Not sold in India
485	Nissan	Cima	N/A	N/A	N/A	N/A	Not sold in India
486	Nissan	300Z	N/A	N/A	N/A	N/A	Classic car, not sold in India
487	Nissan	Laurel	N/A	N/A	N/A	N/A	Classic car, not sold in India
488	Nissan	Grandroad	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
489	Nissan	Murano	N/A	N/A	N/A	N/A	Not sold in India
Opel							
490	Opel	Astra	₹6.00 - 8.00 Lakh	75 bhp	12.0 kmpl	Petrol	Discontinued in India
Peugeot							
491	Peugeot	Vectra	N/A	N/A	N/A	N/A	Not sold in India
Pontiac							
492	Pontiac	Corsa	N/A	N/A	N/A	N/A	Not sold in India
Porsche							
493	Porsche	Cayenne	₹1.36 - 2.00 Crore	348-463 bhp	10.0-12.0 kmpl	Petrol	Current generation
494	Porsche	718	₹1.47 - 2.74 Crore	295-493 bhp	10.0-12.0 kmpl	Petrol	Current generation
495	Porsche	Macan	₹88.00 Lakh	261 bhp	11.0 kmpl	Petrol	Current generation
496	Porsche	Panamera	₹1.68 - 2.80 Crore	325-690 bhp	10.0-12.0 kmpl	Petrol/Hybrid	Current generation
497	Porsche	Taycan	₹1.61 - 2.44 Crore	402-750 bhp	390-484 km/charge	Electric	Current generation
498	Porsche	911	₹1.86 - 3.35 Crore	380-640 bhp	9.0-10.0 kmpl	Petrol	Current generation
499	Porsche	Cayenne Coupe	₹1.41 - 2.08 Crore	348-463 bhp	10.0-12.0 kmpl	Petrol	Current generation
500	Porsche	Boxster	N/A	N/A	N/A	N/A	Part of 718 series, not standalone
